호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
6,2626,대흥,3948523,18718,529748,440763,605433,614652,636433,560947,560547
6,2627,공덕(6),7725994,36347,1123314,933509,1133013,1163696,1159759,1065523,1147180
6,2628,효창공원앞,3024623,14367,417656,354668,460922,472453,472657,422006,424261
6,2629,삼각지(6),2679748,12680,370701,313062,397259,399420,421690,392955,384661
6,2630,녹사평,2641496,12490,362457,322448,411605,379652,401707,382973,380654
6,2631,이태원,7230677,34342,1021820,923025,1094803,1022848,1096244,1057115,1014822
6,2632,한강진,4009391,18968,572930,482902,600310,591786,613030,572344,576089
6,2633,버티고개,1018863,4818,143751,122369,152686,154177,156584,142472,146824
6,2634,약수(6),1651836,7787,240167,200246,243723,247302,250655,227491,242252
6,2635,청구(6),1675230,7878,237707,201463,247239,251396,254829,233320,249276
6,2636,신당(6),3872679,18350,554796,452169,590754,586250,591393,546142,551175
6,2637,동묘앞(6),4149380,19766,579485,527341,632279,615678,643251,579580,571766
6,2638,창신,1458934,6926,196093,166064,224618,230329,230727,205725,205378
6,2639,보문,3141607,14833,439156,376596,471666,468400,487546,441504,456739
6,2640,안암,5815202,27887,709567,608318,986240,925592,1005387,812528,767570
6,2641,고려대,4037141,19271,526167,447968,629973,639682,672203,572090,549058
6,2642,월곡,5343835,25455,742070,625106,831430,828156,842740,737733,736600
6,2643,상월곡,2708245,12850,362107,312422,410575,417688,435474,387560,382419
6,2644,돌곶이,3554693,16759,493211,416328,529380,538683,555385,500409,521297
6,2645,석계(6),5739969,27179,797869,685387,864532,869745,894816,807083,820537
6,2646,태릉입구(6),2694990,12827,354995,303447,398264,401455,481171,382231,373427
6,2647,화랑대,4902840,23253,660606,560735,748303,757517,792196,689357,694126
6,2648,봉화산,4153299,19584,592572,501784,610966,621064,635549,582741,608623
7,2711,장암,731857,3416,96454,82553,103951,108588,116990,109717,113604
7,2712,도봉산(7),4507179,21406,598277,517434,669084,697302,735002,657362,632718
7,2713,수락산,5868041,27715,822804,714021,874615,867128,901073,836769,851631
7,2714,마들,5063393,23885,717288,616726,741879,758428,779988,708844,740240
7,2715,노원(7),9457831,44545,1365922,1189681,1383004,1362175,1445764,1315994,1395291
7,2716,중계,6592882,31094,917251,781527,969663,1005409,1030310,923831,964891
7,2717,하계,8195628,38766,1147160,986818,1225505,1240661,1276743,1139810,1178931
7,2718,공릉,5588218,26493,752041,654709,863913,851416,896569,776687,792883
7,2719,태릉입구(7),3879456,18519,493912,428578,585958,592147,699959,551401,527501
7,2720,먹골,4532267,21486,656434,562857,666706,668745,705919,628331,643275
7,2721,중화,4940628,23372,698544,600285,724298,734864,784759,687593,710285
7,2722,상봉(7),7349314,34684,1051134,912795,1089746,1076861,1116495,1030811,1071472
